"id","complex.systems","health","crime","statistics","remote.sensing","political.sciences","traffic.modeling","biology","cognitive.sciences","spatial.analysis","GIS","biogeography","environnment","economy","physical.geography"
"66",4805,0.458333333333333,0,0,0,0.0416666666666667,0.291666666666667,0,0,0,0.0416666666666667,0,0.125,0,0.0416666666666667,0
"67",5315,0.0416666666666667,0,0,0,0,0.5,0.0833333333333333,0.0833333333333333,0,0,0,0.0833333333333333,0,0.166666666666667,0
"68",24851,0.217391304347826,0,0,0.0434782608695652,0,0.521739130434783,0,0.0869565217391304,0,0,0,0.130434782608696,0,0,0
"69",3901,0.5,0,0,0,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"70",26945,0.0714285714285714,0,0,0,0,0.142857142857143,0.0714285714285714,0.0714285714285714,0,0,0,0.142857142857143,0,0.5,0
"71",22902,0,0,0,0,0,0.571428571428571,0,0,0,0,0,0.142857142857143,0,0.142857142857143,0
"72",22651,0.175,0,0,0,0,0.35,0.025,0.1,0.025,0.025,0,0,0.075,0.125,0.1
"73",4825,0.533333333333333,0,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0,0.0666666666666667,0.133333333333333
"74",6050,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0.375,0
"75",24841,0.105263157894737,0,0,0,0,0.263157894736842,0,0.0526315789473684,0,0.105263157894737,0,0.263157894736842,0.0526315789473684,0.0526315789473684,0.105263157894737
"76",5556,0.25,0,0,0,0,0.125,0,0.125,0,0.125,0,0.125,0.125,0.125,0
"77",2823,0.123595505617978,0,0,0.0112359550561798,0.0112359550561798,0.0674157303370786,0,0.0674157303370786,0,0.0112359550561798,0,0.292134831460674,0.269662921348315,0.0674157303370786,0.0786516853932584
"78",4870,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0
"79",1103,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0
"80",24710,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"81",2242,0.416666666666667,0,0,0,0,0.166666666666667,0,0,0,0,0,0.25,0,0,0.0833333333333333
"82",25520,0.2,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0,0
"83",1627,0.208333333333333,0,0,0,0.0416666666666667,0.166666666666667,0.0416666666666667,0,0,0.0416666666666667,0,0,0.0833333333333333,0.375,0.0416666666666667
"84",3046,0,0.0909090909090909,0,0,0,0.272727272727273,0,0,0,0,0.181818181818182,0,0.181818181818182,0.181818181818182,0
"85",2963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"86",2508,0.363636363636364,0,0,0,0.181818181818182,0,0,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0
"87",26774,0,0,0,0.0384615384615385,0.346153846153846,0.153846153846154,0,0,0,0.0384615384615385,0.0384615384615385,0.153846153846154,0.0384615384615385,0.0769230769230769,0.115384615384615
"88",24701,0.0344827586206897,0,0,0,0.0344827586206897,0,0,0,0,0,0,0.0689655172413793,0.310344827586207,0.103448275862069,0.448275862068966
"89",14173,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.3,0
"90",2978,0.366666666666667,0,0,0.0333333333333333,0,0.1,0.1,0.0666666666666667,0,0.0333333333333333,0,0.1,0.1,0.1,0
"91",24607,0,0,0,0,0,0.0476190476190476,0.0476190476190476,0,0,0,0,0.238095238095238,0.285714285714286,0.142857142857143,0.238095238095238
"92",3376,0.6,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0
"93",16283,0.466666666666667,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.466666666666667,0
"94",1260,0,0,0,0,0,0.5,0,0,0,0.166666666666667,0,0,0,0.333333333333333,0
"95",18592,0.333333333333333,0.0416666666666667,0,0,0.0416666666666667,0.125,0,0,0,0.208333333333333,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.0833333333333333,0
"96",24601,0.176470588235294,0,0,0,0.235294117647059,0.235294117647059,0,0,0,0,0,0,0,0.352941176470588,0
"97",5591,0.148148148148148,0,0,0,0.481481481481481,0.148148148148148,0,0,0,0,0,0.037037037037037,0.037037037037037,0.037037037037037,0.0740740740740741
"98",490,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0
"99",996,0.136363636363636,0,0,0,0,0.181818181818182,0,0.0909090909090909,0,0.0454545454545455,0.0909090909090909,0.363636363636364,0,0.0909090909090909,0
"100",20883,0.125,0,0,0,0.291666666666667,0.291666666666667,0.0416666666666667,0,0,0,0,0,0,0.166666666666667,0
"101",7058,0.0666666666666667,0,0.155555555555556,0,0.0666666666666667,0.244444444444444,0.0222222222222222,0,0,0.0666666666666667,0.2,0,0,0.177777777777778,0
"102",11113,0.0689655172413793,0,0,0.0517241379310345,0.0172413793103448,0.0862068965517241,0,0,0,0.0172413793103448,0,0,0.0689655172413793,0.53448275862069,0.0517241379310345
"103",23502,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0,0,0,0,0,0,0.0909090909090909,0.272727272727273,0
"104",3944,0.0526315789473684,0,0,0,0.0526315789473684,0.263157894736842,0,0.157894736842105,0,0,0,0.157894736842105,0.0526315789473684,0.157894736842105,0.105263157894737
"105",2621,0.222222222222222,0,0,0,0,0.277777777777778,0,0,0,0,0.388888888888889,0,0,0,0.0555555555555556
"106",6470,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"107",3747,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0,0.333333333333333,0.166666666666667,0
